,2021_10_08,,,,2021_10_15,,,,2021_10_22,,,,2021_10_29,,,,2021_11_05,,,,2021_11_12,,,,2021_11_19,,,,,,,
Time,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,AVG(TECH),dAVG(TECH),AVG(PARK),dAVG(PARK)
07:00,801,,1325,,803,,1250,,845,,1350,,788,,1328,,898,,1304,,1862,,1247,,1301,,1298,,"1,043",,"1,300",
07:01,801,0,1325,0,803,0,1248,-2,844,-1,1347,-3,788,0,1328,0,898,0,1304,0,1862,0,1248,1,1301,0,1298,0,"1,042",0,"1,300",-1
07:02,800,-1,1325,0,803,0,1248,0,843,-1,1342,-5,788,0,1329,1,898,0,1305,1,1861,-1,1248,0,1301,0,1297,-1,"1,042",0,"1,299",-1
07:03,800,0,1325,0,803,0,1246,-2,843,0,1342,0,788,0,1329,0,898,0,1304,-1,1861,0,1247,-1,1301,0,1298,1,"1,042",0,"1,299",0
07:04,799,-1,1325,0,803,0,1246,0,843,0,1337,-5,788,0,1329,0,897,-1,1304,0,1861,0,1246,-1,1301,0,1300,2,"1,042",0,"1,298",-1
07:05,799,0,1325,0,803,0,1246,0,842,-1,1331,-6,788,0,1328,-1,897,0,1303,-1,1861,0,1244,-2,1300,-1,1299,-1,"1,041",0,"1,297",-2
07:06,799,0,1325,0,801,-2,1246,0,841,-1,1331,0,788,0,1327,-1,897,0,1303,0,1860,-1,1244,0,1300,0,1298,-1,"1,041",-1,"1,296",0
07:07,797,-2,1325,0,801,0,1245,-1,842,1,1330,-1,787,-1,1328,1,895,-2,1303,0,1860,0,1244,0,1300,0,1297,-1,"1,040",-1,"1,296",0
07:08,796,-1,1324,-1,798,-3,1244,-1,842,0,1329,-1,786,-1,1326,-2,895,0,1303,0,1859,-1,1244,0,1300,0,1297,0,"1,039",-1,"1,295",-1
07:09,796,0,1323,-1,798,0,1243,-1,841,-1,1329,0,786,0,1326,0,893,-2,1302,-1,1858,-1,1245,1,1300,0,1297,0,"1,039",-1,"1,295",0
07:10,795,-1,1323,0,798,0,1241,-2,841,0,1328,-1,786,0,1326,0,893,0,1302,0,1858,0,1245,0,1300,0,1297,0,"1,039",0,"1,295",0
07:11,795,0,1323,0,798,0,1242,1,841,0,1329,1,786,0,1325,-1,893,0,1302,0,1859,1,1245,0,1300,0,1297,0,"1,039",0,"1,295",0
07:12,795,0,1322,-1,798,0,1242,0,841,0,1327,-2,786,0,1325,0,889,-4,1302,0,1859,0,1247,2,1300,0,1297,0,"1,038",-1,"1,295",0
07:13,795,0,1321,-1,798,0,1240,-2,841,0,1322,-5,786,0,1324,-1,889,0,1303,1,1859,0,1246,-1,1299,-1,1296,-1,"1,038",0,"1,293",-1
07:14,793,-2,1320,-1,797,-1,1240,0,841,0,1319,-3,785,-1,1322,-2,889,0,1302,-1,1859,0,1247,1,1299,0,1296,0,"1,038",-1,"1,292",-1
07:15,793,0,1317,-3,797,0,1240,0,840,-1,1321,2,784,-1,1321,-1,889,0,1302,0,1859,0,1248,1,1299,0,1296,0,"1,037",0,"1,292",0
07:16,792,-1,1316,-1,797,0,1240,0,840,0,1319,-2,783,-1,1321,0,887,-2,1302,0,1859,0,1248,0,1299,0,1292,-4,"1,037",-1,"1,291",-1
07:17,792,0,1312,-4,796,-1,1239,-1,840,0,1319,0,780,-3,1319,-2,887,0,1300,-2,1858,-1,1248,0,1299,0,1291,-1,"1,036",-1,"1,290",-1
07:18,792,0,1312,0,795,-1,1238,-1,838,-2,1317,-2,780,0,1319,0,887,0,1298,-2,1858,0,1248,0,1299,0,1290,-1,"1,036",0,"1,289",-1
07:19,790,-2,1311,-1,794,-1,1237,-1,837,-1,1318,1,779,-1,1319,0,889,2,1298,0,1858,0,1247,-1,1299,0,1288,-2,"1,035",0,"1,288",-1
07:20,787,-3,1311,0,793,-1,1237,0,838,1,1317,-1,779,0,1319,0,889,0,1298,0,1858,0,1245,-2,1298,-1,1288,0,"1,035",-1,"1,288",0
07:21,785,-2,1310,-1,793,0,1237,0,838,0,1316,-1,779,0,1319,0,889,0,1298,0,1858,0,1244,-1,1296,-2,1287,-1,"1,034",-1,"1,287",-1
07:22,784,-1,1307,-3,793,0,1237,0,838,0,1316,0,779,0,1319,0,888,-1,1299,1,1858,0,1243,-1,1295,-1,1287,0,"1,034",0,"1,287",0
07:23,783,-1,1307,0,793,0,1236,-1,836,-2,1312,-4,779,0,1319,0,887,-1,1296,-3,1858,0,1239,-4,1296,1,1284,-3,"1,033",0,"1,285",-2
07:24,783,0,1305,-2,792,-1,1236,0,833,-3,1309,-3,778,-1,1318,-1,886,-1,1294,-2,1857,-1,1238,-1,1297,1,1284,0,"1,032",-1,"1,283",-1
07:25,783,0,1305,0,792,0,1236,0,833,0,1307,-2,777,-1,1316,-2,885,-1,1294,0,1857,0,1235,-3,1296,-1,1284,0,"1,032",0,"1,282",-1
07:26,783,0,1303,-2,792,0,1234,-2,832,-1,1305,-2,777,0,1313,-3,885,0,1292,-2,1857,0,1233,-2,1296,0,1283,-1,"1,032",0,"1,280",-2
07:27,783,0,1299,-4,792,0,1235,1,830,-2,1303,-2,777,0,1313,0,884,-1,1293,1,1856,-1,1230,-3,1296,0,1282,-1,"1,031",-1,"1,279",-1
07:28,782,-1,1297,-2,792,0,1233,-2,830,0,1301,-2,776,-1,1314,1,883,-1,1291,-2,1856,0,1231,1,1295,-1,1281,-1,"1,031",-1,"1,278",-1
