,2021_10_04,,,,2021_10_11,,,,2021_10_18,,,,2021_10_25,,,,2021_11_01,,,,2021_11_08,,,,2021_11_15,,,,,,,
Time,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,AVG(TECH),dAVG(TECH),AVG(PARK),dAVG(PARK)
07:00,824,,1332,,821,,1360,,792,,1263,,801,,1399,,797,,1375,,900,,1325,,493,,1288,,775,,"1,335",
07:01,825,1,1332,0,821,0,1356,-4,792,0,1263,0,801,0,1398,-1,796,-1,1376,1,900,0,1322,-3,493,0,1288,0,775,0,"1,334",-1
07:02,824,-1,1332,0,821,0,1356,0,792,0,1261,-2,801,0,1397,-1,798,2,1375,-1,900,0,1321,-1,493,0,1287,-1,776,0,"1,333",-1
07:03,823,-1,1331,-1,821,0,1356,0,792,0,1260,-1,799,-2,1397,0,798,0,1375,0,900,0,1321,0,493,0,1288,1,775,0,"1,333",0
07:04,823,0,1331,0,821,0,1356,0,792,0,1260,0,798,-1,1397,0,797,-1,1376,1,899,-1,1322,1,493,0,1288,0,775,0,"1,333",0
07:05,822,-1,1330,-1,820,-1,1355,-1,792,0,1260,0,798,0,1397,0,797,0,1375,-1,899,0,1321,-1,492,-1,1288,0,774,0,"1,332",-1
07:06,820,-2,1330,0,821,1,1355,0,789,-3,1259,-1,799,1,1397,0,796,-1,1375,0,899,0,1320,-1,491,-1,1287,-1,774,-1,"1,332",0
07:07,819,-1,1330,0,821,0,1353,-2,789,0,1258,-1,799,0,1396,-1,796,0,1375,0,899,0,1320,0,491,0,1287,0,773,0,"1,331",-1
07:08,818,-1,1330,0,822,1,1351,-2,787,-2,1258,0,799,0,1395,-1,796,0,1375,0,897,-2,1319,-1,491,0,1286,-1,773,-1,"1,331",-1
07:09,817,-1,1329,-1,821,-1,1350,-1,785,-2,1258,0,799,0,1395,0,796,0,1374,-1,897,0,1321,2,491,0,1286,0,772,-1,"1,330",0
07:10,816,-1,1327,-2,820,-1,1350,0,785,0,1256,-2,799,0,1395,0,795,-1,1375,1,896,-1,1321,0,491,0,1286,0,772,-1,"1,330",0
07:11,817,1,1329,2,818,-2,1351,1,785,0,1255,-1,798,-1,1396,1,795,0,1378,3,897,1,1322,1,490,-1,1285,-1,771,0,"1,331",1
07:12,814,-3,1329,0,817,-1,1349,-2,784,-1,1254,-1,798,0,1397,1,794,-1,1378,0,896,-1,1322,0,491,1,1285,0,771,-1,"1,331",0
07:13,812,-2,1328,-1,817,0,1348,-1,785,1,1253,-1,798,0,1398,1,793,-1,1378,0,896,0,1319,-3,490,-1,1285,0,770,0,"1,330",-1
07:14,812,0,1329,1,815,-2,1349,1,784,-1,1254,1,798,0,1397,-1,792,-1,1378,0,895,-1,1315,-4,491,1,1281,-4,770,-1,"1,329",-1
07:15,812,0,1328,-1,814,-1,1347,-2,784,0,1253,-1,798,0,1396,-1,791,-1,1378,0,894,-1,1313,-2,492,1,1281,0,769,0,"1,328",-1
07:16,812,0,1326,-2,814,0,1343,-4,785,1,1252,-1,798,0,1395,-1,791,0,1376,-2,894,0,1313,0,492,0,1282,1,769,0,"1,327",-1
07:17,812,0,1321,-5,814,0,1343,0,785,0,1252,0,798,0,1393,-2,791,0,1372,-4,894,0,1313,0,492,0,1278,-4,769,0,"1,325",-2
07:18,812,0,1320,-1,812,-2,1339,-4,784,-1,1249,-3,797,-1,1393,0,790,-1,1373,1,893,-1,1313,0,492,0,1277,-1,769,-1,"1,323",-1
07:19,811,-1,1319,-1,810,-2,1336,-3,784,0,1246,-3,796,-1,1390,-3,790,0,1373,0,892,-1,1311,-2,492,0,1277,0,768,-1,"1,322",-2
07:20,811,0,1318,-1,808,-2,1333,-3,784,0,1246,0,797,1,1386,-4,791,1,1372,-1,892,0,1311,0,492,0,1275,-2,768,0,"1,320",-2
07:21,811,0,1314,-4,808,0,1328,-5,783,-1,1246,0,797,0,1386,0,790,-1,1370,-2,892,0,1311,0,492,0,1275,0,768,0,"1,319",-2
07:22,810,-1,1314,0,808,0,1327,-1,783,0,1245,-1,797,0,1385,-1,790,0,1367,-3,892,0,1310,-1,493,1,1271,-4,768,0,"1,317",-2
07:23,811,1,1314,0,806,-2,1326,-1,782,-1,1242,-3,795,-2,1382,-3,791,1,1365,-2,892,0,1311,1,493,0,1271,0,767,0,"1,316",-1
07:24,811,0,1315,1,804,-2,1324,-2,782,0,1240,-2,794,-1,1382,0,789,-2,1364,-1,888,-4,1309,-2,493,0,1271,0,766,-1,"1,315",-1
07:25,810,-1,1314,-1,804,0,1323,-1,782,0,1241,1,794,0,1383,1,789,0,1364,0,887,-1,1307,-2,492,-1,1271,0,765,0,"1,315",0
07:26,809,-1,1314,0,800,-4,1321,-2,782,0,1241,0,794,0,1382,-1,789,0,1365,1,886,-1,1305,-2,491,-1,1272,1,764,-1,"1,314",0
07:27,809,0,1311,-3,796,-4,1321,0,781,-1,1241,0,793,-1,1382,0,789,0,1364,-1,886,0,1304,-1,491,0,1271,-1,764,-1,"1,313",-1
07:28,808,-1,1308,-3,795,-1,1320,-1,781,0,1240,-1,793,0,1382,0,789,0,1361,-3,886,0,1303,-1,490,-1,1271,0,763,0,"1,312",-1
07:29,807,-1,1308,0,795,0,1318,-2,780,-1,1239,-1,793,0,1382,0,789,0,1360,-1,885,-1,1302,-1,489,-1,1270,-1,763,-1,"1,311",-1
07:30,806,-1,1303,-5,795,0,1317,-1,780,0,1237,-2,791,-2,1382,0,789,0,1359,-1,883,-2,1302,0,489,0,1265,-5,762,-1,"1,309",-2
07:31,805,-1,1299,-4,795,0,1315,-2,777,-3,1236,-1,790,-1,1380,-2,789,0,1359,0,878,-5,1302,0,489,0,1264,-1,760,-1,"1,308",-1
07:32,803,-2,1299,0,792,-3,1312,-3,777,0,1235,-1,789,-1,1379,-1,788,-1,1359,0,877,-1,1302,0,488,-1,1261,-3,759,-1,"1,307",-1
07:33,802,-1,1298,-1,791,-1,1311,-1,775,-2,1233,-2,789,0,1379,0,787,-1,1358,-1,876,-1,1302,0,489,1,1260,-1,758,-1,"1,306",-1
07:34,799,-3,1297,-1,789,-2,1304,-7,775,0,1232,-1,789,0,1379,0,785,-2,1355,-3,876,0,1300,-2,488,-1,1260,0,757,-1,"1,304",-2
07:35,797,-2,1297,0,789,0,1299,-5,773,-2,1230,-2,788,-1,1375,-4,784,-1,1354,-1,876,0,1299,-1,488,0,1260,0,756,-1,"1,302",-2
07:36,797,0,1297,0,787,-2,1300,1,772,-1,1230,0,786,-2,1372,-3,783,-1,1352,-2,875,-1,1298,-1,488,0,1259,-1,755,-1,"1,301",-1
07:37,795,-2,1296,-1,787,0,1299,-1,771,-1,1227,-3,783,-3,1371,-1,783,0,1352,0,874,-1,1296,-2,488,0,1258,-1,754,-1,"1,300",-1
07:38,795,0,1295,-1,785,-2,1297,-2,771,0,1225,-2,782,-1,1366,-5,781,-2,1350,-2,872,-2,1291,-5,488,0,1256,-2,753,-1,"1,297",-3
07:39,793,-2,1293,-2,784,-1,1296,-1,769,-2,1223,-2,782,0,1366,0,781,0,1345,-5,867,-5,1289,-2,488,0,1257,1,752,-1,"1,296",-2
07:40,792,-1,1291,-2,782,-2,1290,-6,767,-2,1219,-4,780,-2,1366,0,780,-1,1344,-1,867,0,1285,-4,488,0,1255,-2,751,-1,"1,293",-3
07:41,788,-4,1285,-6,781,-1,1284,-6,766,-1,1216,-3,777,-3,1366,0,778,-2,1341,-3,866,-1,1284,-1,487,-1,1252,-3,749,-2,"1,290",-3
07:42,788,0,1281,-4,779,-2,1279,-5,766,0,1216,0,775,-2,1363,-3,778,0,1340,-1,862,-4,1282,-2,485,-2,1251,-1,748,-1,"1,287",-2
07:43,787,-1,1279,-2,777,-2,1275,-4,766,0,1216,0,775,0,1362,-1,778,0,1339,-1,859,-3,1282,0,484,-1,1251,0,747,-1,"1,286",-1
