,2021_10_07,,,,2021_10_14,,,,2021_10_21,,,,2021_10_28,,,,2021_11_04,,,,2021_11_11,,,,2021_11_18,,,,,,,
Time,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,AVG(TECH),dAVG(TECH),AVG(PARK),dAVG(PARK)
07:00,818,,1290,,800,,1254,,835,,1200,,797,,1356,,883,,1313,,1087,,1233,,1764,,1289,,998,,"1,276",
07:01,818,0,1289,-1,799,-1,1254,0,835,0,1196,-4,798,1,1353,-3,883,0,1313,0,1087,0,1234,1,1764,0,1290,1,998,0,"1,276",-1
07:02,818,0,1286,-3,797,-2,1253,-1,834,-1,1190,-6,797,-1,1353,0,883,0,1313,0,1087,0,1234,0,1764,0,1289,-1,997,-1,"1,274",-2
07:03,818,0,1286,0,796,-1,1253,0,834,0,1186,-4,797,0,1353,0,882,-1,1313,0,1087,0,1233,-1,1764,0,1290,1,997,0,"1,273",-1
07:04,818,0,1287,1,794,-2,1252,-1,832,-2,1187,1,796,-1,1353,0,881,-1,1313,0,1087,0,1233,0,1764,0,1291,1,996,-1,"1,274",0
07:05,816,-2,1287,0,794,0,1251,-1,830,-2,1185,-2,796,0,1352,-1,882,1,1314,1,1087,0,1232,-1,1763,-1,1290,-1,995,-1,"1,273",-1
07:06,815,-1,1285,-2,793,-1,1249,-2,831,1,1181,-4,795,-1,1352,0,883,1,1314,0,1087,0,1232,0,1762,-1,1290,0,995,0,"1,272",-1
07:07,815,0,1285,0,792,-1,1248,-1,831,0,1178,-3,794,-1,1350,-2,883,0,1314,0,1086,-1,1233,1,1762,0,1289,-1,995,0,"1,271",-1
07:08,815,0,1284,-1,791,-1,1248,0,830,-1,1178,0,794,0,1350,0,883,0,1312,-2,1086,0,1231,-2,1762,0,1290,1,994,0,"1,270",-1
07:09,814,-1,1284,0,791,0,1248,0,826,-4,1174,-4,794,0,1349,-1,881,-2,1314,2,1086,0,1230,-1,1762,0,1289,-1,993,-1,"1,270",-1
07:10,815,1,1284,0,790,-1,1248,0,824,-2,1172,-2,794,0,1348,-1,881,0,1315,1,1086,0,1228,-2,1762,0,1289,0,993,0,"1,269",-1
07:11,814,-1,1282,-2,790,0,1247,-1,824,0,1171,-1,794,0,1349,1,880,-1,1313,-2,1085,-1,1228,0,1762,0,1287,-2,993,0,"1,268",-1
07:12,815,1,1279,-3,790,0,1243,-4,823,-1,1169,-2,794,0,1349,0,880,0,1312,-1,1084,-1,1228,0,1762,0,1287,0,993,0,"1,267",-1
07:13,814,-1,1278,-1,791,1,1241,-2,823,0,1167,-2,794,0,1349,0,880,0,1312,0,1084,0,1228,0,1762,0,1288,1,993,0,"1,266",-1
07:14,813,-1,1279,1,791,0,1238,-3,823,0,1164,-3,794,0,1346,-3,878,-2,1311,-1,1084,0,1228,0,1763,1,1287,-1,992,0,"1,265",-1
07:15,813,0,1278,-1,791,0,1237,-1,822,-1,1163,-1,792,-2,1345,-1,876,-2,1311,0,1085,1,1228,0,1763,0,1287,0,992,-1,"1,264",-1
07:16,812,-1,1276,-2,790,-1,1233,-4,822,0,1162,-1,791,-1,1343,-2,874,-2,1310,-1,1085,0,1225,-3,1763,0,1285,-2,991,-1,"1,262",-2
07:17,810,-2,1274,-2,790,0,1232,-1,822,0,1159,-3,791,0,1343,0,874,0,1310,0,1085,0,1222,-3,1762,-1,1284,-1,991,0,"1,261",-1
07:18,810,0,1272,-2,789,-1,1231,-1,820,-2,1157,-2,791,0,1341,-2,874,0,1307,-3,1085,0,1219,-3,1762,0,1283,-1,990,0,"1,259",-2
07:19,808,-2,1271,-1,787,-2,1231,0,820,0,1153,-4,791,0,1341,0,873,-1,1306,-1,1086,1,1216,-3,1762,0,1284,1,990,-1,"1,257",-1
07:20,807,-1,1271,0,787,0,1230,-1,820,0,1152,-1,792,1,1339,-2,873,0,1306,0,1085,-1,1214,-2,1762,0,1283,-1,989,0,"1,256",-1
07:21,807,0,1272,1,787,0,1228,-2,818,-2,1151,-1,792,0,1338,-1,873,0,1305,-1,1084,-1,1211,-3,1761,-1,1283,0,989,-1,"1,255",-1
07:22,806,-1,1273,1,787,0,1226,-2,818,0,1148,-3,791,-1,1335,-3,873,0,1305,0,1084,0,1211,0,1762,1,1282,-1,989,0,"1,254",-1
07:23,806,0,1272,-1,786,-1,1226,0,818,0,1145,-3,788,-3,1336,1,871,-2,1304,-1,1084,0,1210,-1,1761,-1,1280,-2,988,-1,"1,253",-1
07:24,807,1,1271,-1,784,-2,1225,-1,814,-4,1142,-3,787,-1,1335,-1,869,-2,1301,-3,1083,-1,1210,0,1761,0,1279,-1,986,-1,"1,252",-1
07:25,805,-2,1270,-1,782,-2,1224,-1,813,-1,1141,-1,786,-1,1335,0,869,0,1300,-1,1083,0,1209,-1,1761,0,1277,-2,986,-1,"1,251",-1
07:26,805,0,1269,-1,782,0,1222,-2,813,0,1140,-1,785,-1,1333,-2,869,0,1300,0,1084,1,1207,-2,1761,0,1273,-4,986,0,"1,249",-2
07:27,804,-1,1268,-1,782,0,1217,-5,810,-3,1141,1,784,-1,1331,-2,869,0,1298,-2,1082,-2,1205,-2,1761,0,1274,1,985,-1,"1,248",-1
07:28,804,0,1267,-1,780,-2,1216,-1,809,-1,1141,0,783,-1,1329,-2,868,-1,1296,-2,1082,0,1204,-1,1760,-1,1272,-2,984,-1,"1,246",-1
07:29,800,-4,1266,-1,780,0,1216,0,808,-1,1139,-2,783,0,1326,-3,868,0,1294,-2,1080,-2,1200,-4,1760,0,1269,-3,983,-1,"1,244",-2
07:30,800,0,1265,-1,780,0,1215,-1,806,-2,1137,-2,783,0,1325,-1,867,-1,1292,-2,1080,0,1199,-1,1760,0,1268,-1,982,0,"1,243",-1
07:31,800,0,1262,-3,781,1,1213,-2,806,0,1137,0,782,-1,1324,-1,866,-1,1291,-1,1079,-1,1195,-4,1760,0,1266,-2,982,0,"1,241",-2
07:32,799,-1,1258,-4,781,0,1212,-1,805,-1,1135,-2,781,-1,1323,-1,864,-2,1287,-4,1079,0,1190,-5,1759,-1,1263,-3,981,-1,"1,238",-3
07:33,797,-2,1257,-1,781,0,1207,-5,805,0,1133,-2,781,0,1322,-1,864,0,1285,-2,1079,0,1189,-1,1758,-1,1263,0,981,0,"1,237",-2
07:34,795,-2,1255,-2,780,-1,1203,-4,802,-3,1130,-3,779,-2,1319,-3,864,0,1283,-2,1079,0,1186,-3,1757,-1,1261,-2,979,-1,"1,234",-3
07:35,795,0,1250,-5,779,-1,1202,-1,801,-1,1126,-4,778,-1,1319,0,863,-1,1281,-2,1079,0,1183,-3,1757,0,1260,-1,979,-1,"1,232",-2
07:36,793,-2,1248,-2,778,-1,1200,-2,801,0,1123,-3,776,-2,1318,-1,862,-1,1281,0,1079,0,1180,-3,1757,0,1258,-2,978,-1,"1,230",-2
07:37,792,-1,1246,-2,778,0,1200,0,800,-1,1122,-1,774,-2,1316,-2,862,0,1277,-4,1079,0,1179,-1,1757,0,1257,-1,977,-1,"1,228",-2
07:38,792,0,1243,-3,775,-3,1197,-3,800,0,1118,-4,774,0,1312,-4,861,-1,1276,-1,1076,-3,1178,-1,1757,0,1256,-1,976,-1,"1,226",-2
07:39,792,0,1242,-1,773,-2,1196,-1,800,0,1116,-2,774,0,1307,-5,859,-2,1273,-3,1076,0,1174,-4,1758,1,1255,-1,976,0,"1,223",-2
07:40,791,-1,1239,-3,772,-1,1195,-1,799,-1,1113,-3,773,-1,1304,-3,859,0,1271,-2,1076,0,1170,-4,1756,-2,1254,-1,975,-1,"1,221",-2
07:41,788,-3,1238,-1,771,-1,1192,-3,799,0,1111,-2,773,0,1301,-3,858,-1,1270,-1,1075,-1,1164,-6,1756,0,1252,-2,974,-1,"1,218",-3
07:42,787,-1,1235,-3,770,-1,1190,-2,799,0,1110,-1,772,-1,1300,-1,857,-1,1264,-6,1075,0,1161,-3,1756,0,1251,-1,974,-1,"1,216",-2
07:43,785,-2,1232,-3,768,-2,1184,-6,798,-1,1110,0,772,0,1296,-4,855,-2,1260,-4,1074,-1,1159,-2,1755,-1,1248,-3,972,-1,"1,213",-3
07:44,785,0,1229,-3,765,-3,1180,-4,794,-4,1105,-5,772,0,1296,0,852,-3,1257,-3,1073,-1,1157,-2,1754,-1,1245,-3,971,-2,"1,210",-3
07:45,784,-1,1226,-3,764,-1,1175,-5,794,0,1103,-2,772,0,1291,-5,852,0,1255,-2,1072,-1,1155,-2,1754,0,1244,-1,970,0,"1,207",-3
07:46,782,-2,1226,0,762,-2,1173,-2,791,-3,1100,-3,769,-3,1286,-5,849,-3,1254,-1,1072,0,1152,-3,1754,0,1240,-4,968,-2,"1,204",-3
07:47,780,-2,1222,-4,757,-5,1168,-5,791,0,1096,-4,767,-2,1279,-7,849,0,1250,-4,1072,0,1148,-4,1755,1,1240,0,967,-1,"1,200",-4
