,2021_10_05,,,,2021_10_12,,,,2021_10_19,,,,2021_10_26,,,,2021_11_02,,,,2021_11_09,,,,2021_11_16,,,,,,,
Time,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,TECH,dTECH,PARK,dPARK,AVG(TECH),dAVG(TECH),AVG(PARK),dAVG(PARK)
07:00,824,,1298,,808,,1277,,774,,1210,,798,,1367,,796,,1323,,885,,1267,,468,,1318,,765,,"1,294",
07:01,824,0,1297,-1,807,-1,1276,-1,773,-1,1209,-1,798,0,1367,0,795,-1,1322,-1,885,0,1266,-1,468,0,1317,-1,764,0,"1,293",-1
07:02,824,0,1298,1,807,0,1277,1,772,-1,1209,0,797,-1,1368,1,795,0,1320,-2,883,-2,1265,-1,468,0,1318,1,764,-1,"1,294",0
07:03,825,1,1296,-2,807,0,1278,1,771,-1,1209,0,797,0,1368,0,795,0,1320,0,883,0,1266,1,468,0,1319,1,764,0,"1,294",0
07:04,825,0,1294,-2,803,-4,1277,-1,771,0,1207,-2,796,-1,1369,1,795,0,1319,-1,883,0,1267,1,467,-1,1319,0,763,-1,"1,293",-1
07:05,825,0,1294,0,803,0,1274,-3,770,-1,1206,-1,796,0,1370,1,795,0,1319,0,883,0,1267,0,467,0,1318,-1,763,0,"1,293",-1
07:06,823,-2,1293,-1,802,-1,1271,-3,770,0,1204,-2,796,0,1371,1,795,0,1318,-1,881,-2,1267,0,468,1,1317,-1,762,-1,"1,292",-1
07:07,823,0,1293,0,802,0,1272,1,769,-1,1204,0,796,0,1372,1,793,-2,1316,-2,880,-1,1263,-4,468,0,1318,1,762,-1,"1,291",0
07:08,823,0,1293,0,802,0,1271,-1,769,0,1203,-1,796,0,1371,-1,792,-1,1317,1,880,0,1261,-2,468,0,1318,0,761,0,"1,291",-1
07:09,822,-1,1293,0,802,0,1270,-1,768,-1,1200,-3,796,0,1372,1,792,0,1316,-1,878,-2,1261,0,467,-1,1317,-1,761,-1,"1,290",-1
07:10,822,0,1292,-1,802,0,1270,0,764,-4,1200,0,795,-1,1372,0,792,0,1316,0,877,-1,1261,0,467,0,1314,-3,760,-1,"1,289",-1
07:11,822,0,1291,-1,802,0,1267,-3,764,0,1199,-1,795,0,1372,0,792,0,1315,-1,877,0,1261,0,467,0,1314,0,760,0,"1,288",-1
07:12,821,-1,1291,0,802,0,1266,-1,764,0,1199,0,795,0,1372,0,791,-1,1314,-1,876,-1,1259,-2,467,0,1314,0,759,0,"1,288",-1
07:13,821,0,1291,0,802,0,1266,0,763,-1,1199,0,795,0,1370,-2,790,-1,1311,-3,876,0,1259,0,466,-1,1314,0,759,0,"1,287",-1
07:14,822,1,1290,-1,801,-1,1262,-4,761,-2,1198,-1,795,0,1369,-1,790,0,1311,0,876,0,1258,-1,466,0,1314,0,759,0,"1,286",-1
07:15,822,0,1290,0,801,0,1261,-1,761,0,1196,-2,794,-1,1367,-2,791,1,1309,-2,876,0,1258,0,467,1,1313,-1,759,0,"1,285",-1
07:16,822,0,1290,0,799,-2,1261,0,760,-1,1196,0,795,1,1368,1,791,0,1309,0,875,-1,1255,-3,468,1,1311,-2,759,0,"1,284",-1
07:17,823,1,1291,1,796,-3,1260,-1,760,0,1196,0,795,0,1368,0,792,1,1310,1,874,-1,1253,-2,467,-1,1308,-3,758,0,"1,284",-1
07:18,822,-1,1291,0,796,0,1257,-3,759,-1,1195,-1,796,1,1368,0,792,0,1308,-2,874,0,1250,-3,466,-1,1307,-1,758,0,"1,282",-1
07:19,821,-1,1291,0,796,0,1255,-2,758,-1,1195,0,796,0,1368,0,792,0,1309,1,871,-3,1249,-1,465,-1,1307,0,757,-1,"1,282",0
07:20,820,-1,1291,0,794,-2,1255,0,758,0,1194,-1,796,0,1368,0,792,0,1308,-1,871,0,1246,-3,466,1,1307,0,757,0,"1,281",-1
07:21,820,0,1291,0,792,-2,1256,1,760,2,1194,0,796,0,1368,0,792,0,1308,0,870,-1,1243,-3,465,-1,1306,-1,756,0,"1,281",0
07:22,817,-3,1288,-3,791,-1,1257,1,758,-2,1192,-2,796,0,1369,1,793,1,1307,-1,870,0,1243,0,465,0,1305,-1,756,-1,"1,280",-1
07:23,815,-2,1287,-1,791,0,1256,-1,758,0,1189,-3,796,0,1367,-2,791,-2,1307,0,868,-2,1242,-1,465,0,1304,-1,755,-1,"1,279",-1
07:24,815,0,1287,0,791,0,1253,-3,758,0,1186,-3,796,0,1367,0,789,-2,1307,0,867,-1,1242,0,463,-2,1304,0,754,-1,"1,278",-1
07:25,815,0,1287,0,790,-1,1253,0,757,-1,1185,-1,796,0,1367,0,787,-2,1306,-1,867,0,1242,0,462,-1,1303,-1,753,-1,"1,278",0
07:26,814,-1,1287,0,789,-1,1251,-2,757,0,1185,0,797,1,1367,0,787,0,1305,-1,867,0,1242,0,461,-1,1303,0,753,0,"1,277",0
07:27,813,-1,1287,0,788,-1,1251,0,757,0,1185,0,797,0,1368,1,785,-2,1303,-2,866,-1,1242,0,461,0,1301,-2,752,-1,"1,277",0
07:28,811,-2,1286,-1,787,-1,1249,-2,756,-1,1185,0,797,0,1368,0,785,0,1303,0,864,-2,1242,0,461,0,1300,-1,752,-1,"1,276",-1
